handle,sku,max_variant_images,variant_image_2,variant_image_3,variant_image_4,variant_image_5,variant_image_6
formula1-550g,4463,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4463_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4463_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4463_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4463_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4463_6.png
formula1-550g,4465,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4465_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4465_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4465_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4465_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4465_6.png
formula1-550g,4462,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4462_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4462_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4462_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4462_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4462_6.png
formula1-550g,4467,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4467_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4467_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4467_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4467_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4467_6.png
formula1-550g,4468,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4468_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4468_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4468_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4468_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4468_6.png
formula1-550g,4471,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4471_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4471_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4471_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4471_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-550g/formula1-550g_4471_6.png
formula1-500g,4469,6,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-500g/formula1-500g_4469_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-500g/formula1-500g_4469_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-500g/formula1-500g_4469_4.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-500g/formula1-500g_4469_5.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/formula1-500g/formula1-500g_4469_6.png
protein-drink-mix-588g,2600,3,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-588g/protein-drink-mix-588g_2600_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-588g/protein-drink-mix-588g_2600_3.png,,,
protein-drink-mix-560g,172K,4,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-560g/protein-drink-mix-560g_172K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-560g/protein-drink-mix-560g_172K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-560g/protein-drink-mix-560g_172K_4.png,,
protein-drink-mix-196g,441K,4,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-196g/protein-drink-mix-196g_441K_2.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-196g/protein-drink-mix-196g_441K_3.png,https://raw.githubusercontent.com/TechnicalObject/shakee/main/assets/images/protein-drink-mix-196g/protein-drink-mix-196g_441K_4.png,,
